Mega Man 7	complete	https://store.steampowered.com/app/495050/Mega_Man_Legacy_Collection_2/	3-4	gpt4o	10	10	Frizzil	Based on an amazing annotated <a href='http://www.lltvg.com/wiki/Mega_Man_7/Transcript'>transcript</a> by <i>Mew seeker</i>!
OneShot	complete	https://store.steampowered.com/app/420530/OneShot/	5-6	gpt4o		9	Frizzil	
QuackShot	complete		2-3	gpt4o	10	10	Frizzil	Based on an amazing <a href="http://www.lltvg.com/wiki/Quackshot_Starring_Donald_Duck/Transcript">transcript</a> from LLTVG! Thanks to the English annotations, I was able to accurately splice everything together for a <i>perfect</i> sort. We also have a kanji-injected version (kudos to gpt4o), since the original seemingly had none.
Rabi-Ribi	complete	https://store.steampowered.com/app/400910/RabiRibi/	3	gpt4o	8	9	Frizzil	Story deck is sorted and solid, but tutorials and other text are in a separate deck sorted first by category, then by rough time encountered. Metroidvanias don't typically lend themselves to chronological sorting, but still.
The Secret of Monkey Island	complete	https://store.steampowered.com/app/32360/The_Secret_of_Monkey_Island_Special_Edition/|https://www.gog.com/en/game/the_secret_of_monkey_island_special_edition	3-4	gpt4o	10	10	Frizzil	Based on a <a href='http://www.lltvg.com/wiki/Mega_Man_7/Transcript'>transcript</a> hosted by LLTVG.
Sid Meier's Civilization VI	complete	https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/	6-7	gpt4o		10	Frizzil	Includes all base game and DLC content. Be sure to merge all DLCs into one deck if desired.
SimCity (SNES)	complete		3-4	gpt4o	6	10	Frizzil	Based on a <a href='http://www.lltvg.com/wiki/SimCity_(SNES)/Transcript'>transcript</a> hosted by LLTVG.
Starfox 64	complete		3	gpt4o	8	10	Frizzil	Based on a <a href='http://www.lltvg.com/wiki/Star_Fox_64'>transcript</a> hosted by LLTVG.
Super Mario Bros. 3	complete		2-3	gpt4o	10	10	Frizzil	Based on a <a href='http://www.lltvg.com/wiki/Super_Mario_Bros._3/Transcript'>transcript</a> created by <a href='http://www.lltvg.com/wiki/User:Furrykef'>Kef Schecter</a>. Kanji-fied version created with Chat-GPT 4o.
Super Mario RPG	complete		3-4	gpt4o	10	10	Frizzil	Based on an amazing annotated\n<a href='http://www.lltvg.com/wiki/Super_Mario_RPG/Transcript'>transcript</a>\nby <i>Mew seeker</i>!\n\nRecommended to study only the 'In-Game Combined Kanji' deck and reference the transcript for everything else.\n(Kanji deck generated from non-kanji text via Chat-GPT 4o. Original non-kanji deck also available.)
Super Mario World	complete		2	gpt4o	10	10	Frizzil	Based on an annotated\n<a href='http://www.lltvg.com/wiki/Super_Mario_World/Transcript'>transcript</a>\nhosted by LLTVG and this \n<a href="https://www.youtube.com/watch?v=xWCbJSWBy18">100% playthrough</a>\non YouTube.\n\nOur deck is sorted meticulously, with input text duplicated to accurately reflect the word count.\nOur route takes secret paths when they first become available,\nexcept for Vanilla Dome's second route which we complete just after Lemmy,\nand Star Road which we complete just before Bowser's Keep.\n\nKanji-fied version created with help of Chat-GPT 4o.
TMNT: Turtles in Time	complete	https://store.steampowered.com/app/1659600/Teenage_Mutant_Ninja_Turtles_The_Cowabunga_Collection/	2-3	gpt4o	10	10	Frizzil	Based on a brief <a href='http://www.lltvg.com/wiki/Teenage_Mutant_Ninja_Turtles_IV:_Turtles_in_Time/Transcript'>transcript</a> hosted by LLTVG (maybe 150 words long).
Undertale	complete	https://store.steampowered.com/app/391540/Undertale/|https://www.gog.com/en/game/undertale	3-4	gpt4o	2	8	Frizzil	
Volcano Princess	complete	https://store.steampowered.com/app/1669980/Volcano_Princess/	4-5	gpt4o		8	Frizzil	
